source_id,name,address,category,note
1,天六,大阪市北区天神橋6-4-20 市立住まい情報センターB1,public_toilet,"男大2 小2 女2 身1"
2,弁天町,大阪市港区波除3-11 JR弁天町駅東側,public_toilet,"男大1 小2 身1（改札外東側）"
3,大正橋,大阪市大正区三軒家東1-1 大正橋公園内,public_toilet,"大1 小2 身1"
4,生玉町,大阪市天王寺区生玉町13 生玉神社北側,public_toilet,"大1 小2"
5,御霊神社横,大阪市中央区淡路町4 御霊神社西側,public_toilet,"大1 小2"
6,茨橋,大阪市中央区道頓堀1-10 茨橋南詰,public_toilet,"建替え中（現在閉鎖中）"
7,太左衛門橋,大阪市中央区道頓堀1-5 太左衛門橋南詰,public_toilet,"身障者用1 小3"
8,相合橋,大阪市中央区宗右衛門町 相合橋北詰,public_toilet,"男小1 女1 身1"
9,大野川遊歩道,大阪市西淀川区御幣島3-1 大野川遊歩道内,public_toilet,"男大1 小2 女2 身1"
10,千林町,大阪市旭区千林1-11 京阪千林駅内,public_toilet,"大1 身2"
11,新世界,大阪市浪速区恵美須東1-18 通天閣西側,public_toilet,"大2 小2"
12,萩之茶屋北公園,大阪市西成区萩之茶屋1-13 萩之茶屋北公園内,public_toilet,"大1 小2"
13,萩之茶屋中公園,大阪市西成区萩之茶屋2-4 萩之茶屋中公園内,public_toilet,"大1 小2"
14,東入船町,大阪市西成区萩之茶屋1-14 阪堺線鉄道敷内,public_toilet,"大1 小2"
15,天王寺公園南口,大阪市西成区山王1-17 JR高架下,public_toilet,"大1 小4"
16,今池町,大阪市西成区萩之茶屋2-2 阪堺線今池駅北側,public_toilet,"大1 小2"
17,玉出公園,大阪市西成区玉出中1-10 玉出公園内,public_toilet,"大1 小2（現在閉鎖中）"
18,萩之茶屋南公園,大阪市西成区萩之茶屋3-7 萩之茶屋南公園内,public_toilet,"大3 小5"
19,萩之茶屋,大阪市西成区萩之茶屋3-5 南海萩ノ茶屋駅内,public_toilet,"大3 小5"
